titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
The Tailor,Italian,"English, Spanish",2015,14 min,"Drama, History, European Production","In occupied San Miniato, Italy, a tailor named Paolino faces a pivotal decision after the capture and killing of a Partisan courier by an SS officer.",Pelicula,https://filmzie.com/content/the-tailor
Oliver Sherman,English,None,2010,82 min,"Drama, Thriller, War","Feeling lost and disconnected, with no family of his own, veteran Sherman Oliver sets out to the countryside in search of the soldier who saved him back in the war. That man, Franklin Page, has long since moved on - to a wife, two children, and a reliable job in a reliably safe and quiet rural town.",Pelicula,https://filmzie.com/content/oliver-sherman-2010
Alaska Outdoors Magazine,English,Subtitles,2023,0 min,Documentary,"The Best of Alaska Outdoors showcases action-packed videos from Alaska Outdoors Magazines, featuring diverse salmon fishing and scenic flights. Ideal for all, it provides almost an hour of family entertainment.",Serie,https://filmzie.com/content/alaska-outdoors-magazine-2023
Zarephath,English,English,2021,53 min,Drama,"With only a handful of flour left, a widow has come to terms that there is only enough for one last meal for herself and her son when an unexpected stranger comes along and challenges her faith.",Pelicula,https://filmzie.com/content/zarephath-2021
Nature Fights Back in Chernobyl,French,English (embedded),2010,52 min,Documentary,"Explore the forbidden Chernobyl exclusion zone in this French film. Witness surprising discoveries by zoologists and radio-ecologists, redefining life post-nuclear accident, as radiation fluctuates with the seasons.",Pelicula,https://filmzie.com/content/nature-fights-back-in-chernobyl-2010
This Place Is Haunted,English,English,2023,51 min,Documentary,"A documentary that delves into the chilling world of ghost stories intertwined with the American Civil War. Journeying through the haunting landscapes of Virginia and Tennessee, this film uncovers the spectral remnants of the past that still linger in historically significant locations.",Pelicula,https://filmzie.com/content/this-place-is-haunted-2023
Only For Survivors,Spanish,English,2013,30 min,"Documentary, Short, European Production","Discover the transformative impact of El Víbora, an underground comic magazine. ""Only For Survivors"" chronicles its journey from Barcelona (1979) to closure (2005), becoming a launching pad for acclaimed Spanish cartoonists.",Pelicula,https://filmzie.com/content/only-for-survivors-2013
Built On Narrow Land,English,None,2013,64 min,"Biography, Documentary, Family","Explore Cape Cod's architectural fusion, clash with eminent domain, and the struggle of houses facing uncertain futures in the Cape Cod National Seashore.",Pelicula,https://filmzie.com/content/built-on-narrow-land-2013
The Sitter,English,English,2017,96 min,"Horror, Thriller","Charlotte, a poor student, gets a job house-sitting for an eccentric couple one weekend. When night falls, events take a sinister turn, and Charlotte's worst fears are soon confirmed - there is something sinister in the house, stalking her.",Pelicula,https://filmzie.com/content/the-sitter-2017
I Remember You,English,English,2015,87 min,"Drama, Sci-Fi, Romance",Two strangers feel a supernatural connection after being involved in the same accident.,Pelicula,https://filmzie.com/content/i-remember-you-2017
Sonny Days,English,English,2022,72 min,Comedy,"A hapless city council seeks to revive Youngstown, Ohio. Struggling for funds, they turn to the widow of mobster Sonny ""the Sponge"" for financial support. Will their desperate plan succeed?",Pelicula,https://filmzie.com/content/sonny-days-2022
Twenty,English,None,2019,47 min,"Documentary, Sport","Join Guido and top winter athletes in a haunting film. Explore risk, sponsorship pressures, and the inner voice questioning the worth of their daring pursuits.",Pelicula,https://filmzie.com/content/twenty-2019
To Kill a Murderer,Spanish,"English, Spanish, Portuguese",2007,97 min,Thriller,"A retired hit-man emerges from retirement to track down a seemingly unstoppable serial killer. Soon the hit-man, his equally dangerous wife, and their innocent daughter become the vicious psychopath's next target.",Pelicula,https://filmzie.com/content/to-kill-a-murderer-2007
So the Wind Won’t Blow It All Away,Chinese,English (embedded),2020,19 min,"Drama, Short","Grieving over the death of an ex-girlfriend, Jia Le moves in to stay with an actor friend. The actor, however, often suffers spasms of pain in his body as he prepares to move to China for a better life. Before leaving, the actor performs in an adaptation of controversial writer Yukio Mishima's Noh Play, 'Dojoji'. Both men try to find a glimmer of happiness in their lives.",Pelicula,https://filmzie.com/content/so-the-wind-wont-blow-it-all-away-2020
Boy Wonder,Unknown,None,2010,97 min,"Crime, Drama, Action","A traumatized boy grows into a shy, determined teenager who patrols the mean streets of New York City, helping those in need and dishing out severe punishment to remorseless thugs.",Pelicula,https://filmzie.com/content/boy-wonder-2010
Alyssa: Portrait Of A Teen Killer,English,None,2012,90 min,"Crime, Thriller, Mystery","True events inspire a chilling tale of a murdered girl. Unveiling the reasons behind the tragedy, the film questions parental responsibility and the blurred line between reality and imagination.",Pelicula,https://filmzie.com/content/alyssa-portrait-of-a-teen-killer
Guns and Weed: The Road to Freedom,English,None,2011,91 min,Documentary,"A captivating exploration of Constitutional issues in America, covering police authority, the War on Drugs, self-defense, States' Rights, Austrian Economics, and the flaws of a two-party system.",Pelicula,https://filmzie.com/content/guns-and-weed-the-road-to-freedom
Date Bait,English,English,1960,71 min,Drama,"After rehab, troubled Brad's obsession with Sue leads to drugs and trouble. Secrets unfold as relationships get entangled, leading to a gripping tale.",Pelicula,https://filmzie.com/content/date-bait-1960
Bluff,English,English,2022,114 min,"Crime, Drama, Thriller",A London police officer goes undercover as a heroin addict in a small town and manipulates an unsuspecting local junkie into working with him for a dangerous drug dealer.,Pelicula,https://filmzie.com/content/bluff-2022
Hail Mary!,English,English,2018,89 min,Comedy,"In a desperate move, a football franchise buys a school of Japanese Sumo Wrestlers to protect their star quarterback, O'Rourke, after a 32-game losing streak. Gargantuan Sumos transformed into linemen.",Pelicula,https://filmzie.com/content/hail-mary-2018
A Christmas Hero,English,English,2020,85 min,"Drama, Family, Fantasy","When a young disillusioned war vet, home from Afghanistan, sees nothing good in his life during Christmas a visit by his guardian angel shows him that his life really did make a difference.",Pelicula,https://filmzie.com/content/a-christmas-hero-2020
Hit List,English,English,2011,91 min,"Comedy, Romance","A hitman (Joey Lawrence) falls for a woman (Shirly Brener) with anger issues. When he discovers her journal, he embarks on an unconventional journey to show his love.",Pelicula,https://filmzie.com/content/hit-list-2011
The Dilemma,Spanish,English (embedded),2018,12 min,"Drama, Short","Two men walk agitatedly on a dirt road, between underbrush and large trees. One follows the other: both inspect the place. After a while, they stop in the middle of the foliage.",Pelicula,https://filmzie.com/content/the-dilemma-2018
Division,English,English,2022,99 min,Drama,"When a Z-list actress connects with a fan who has opposing political views in pre-election, pandemic-stricken America, will they come together or prove we're too far apart?",Pelicula,https://filmzie.com/content/division-2022
Make Your Life a Masterpiece in Progress,Spanish,"English, Portuguese",2014,89 min,Comedy,"Eight people eager to change the course of their lives come together in a castle to take part in a personal improvement seminar. When the seminar is not as big as planned, the members get to know each other very quickly. Their interactions help them to understand their individuality and show the others who they really are.",Pelicula,https://filmzie.com/content/make-your-life-a-masterpiece-in-progress-2014
Temp-To-Perm,English,English,2017,5 min,Short,"Temp-to-Perm: A thought-provoking four-minute film delving into corporate culture's absurdity. Witness Jane's interview turning bizarre, exploring the sacrifices made for employment.",Pelicula,https://filmzie.com/content/temp-to-perm-2017
The Trolls,English,None,2016,93 min,"Comedy, History, News","Texas start-up breaks crowdfunding records, but faces a patent troll. They fight back using a legal loophole: trolling the trolls. Get ready for a battle like no other.",Pelicula,https://filmzie.com/content/the-trolls
Scenic Nature: Seasons,English,Subtitles,2023,0 min,Documentary,"Relax with the Seasons of Nature in 4K UHD resolution ASMR video set to beautiful and calming music. Sit back, relax, and enjoy these calming, soothing, relaxing, and stress-reducing nature videos of mountains, rivers, forests, animals, and more!",Serie,https://filmzie.com/content/scenic-nature-seasons-2023
The Pink Chateau,English,English,2019,50 min,Romance,"A young woman follows a beautiful stranger into the countryside. What unfolds is a series of sensual and intimate tales, set to the music of In The Valley Below.",Pelicula,https://filmzie.com/content/the-pink-chateau-2019
Loving Martin,English,English,2019,21 min,"Drama, Short","Erik is an easy-going, middle-age gay male who has everything. Martin, a young, feisty gay male is trying to find his way in life. They're total opposites whose love holds them together through the rough times. How far is Martin willing to go to test Erik's love and how much is Erik willing to take?",Pelicula,https://filmzie.com/content/loving-martin-2019
Keeping Secrets,English,None,2023,129 min,"Crime, Horror, Thriller","Determined to prove herself, a police officer must go undercover at a seedy lounge to catch a serial killer.",Pelicula,https://filmzie.com/content/keeping-secrets-2023
How We Met,English,English,2016,80 min,"Action, Comedy, Romance","In an unfortunate turn of events, a sheltered young loser's disastrous blind date takes a dark twist when they must conceal the accidental killing of a corrupt police officer.",Pelicula,https://filmzie.com/content/how-we-met
Objects in the Mirror,English,None,2022,142 min,Drama,"Judy Plethos has a great career as County Attorney and a happy personal life, in a town in Kansas. But events carry her into a dark place as the pressures of a difficult case and a deep betrayal pull her soul apart.",Pelicula,https://filmzie.com/content/objects-in-the-mirror-2022
Low and Peachy,English,"German, English, Spanish, French, Italian",2015,96 min,"Comedy, Romance","A slacker is visited by agents of the Life Police, a secret government agency that forces citizens to become productive members of society. But their agenda is thrown into chaos when the team’s beautiful lead agent falls in love with the loser.",Pelicula,https://filmzie.com/content/low-and-peachy-2015
Inertial Love,Non linguistic content,None,2012,6 min,"Comedy, Short, European Production","Javier and Anna's relationship loses momentum. Anna stops abruptly, leaving Javier to struggle until he finds a way to move on.",Pelicula,https://filmzie.com/content/inertial-love
The Announcement,Turkish,English,2017,94 min,"Comedy, Drama","Biting political satire meets wry comedy as officers plot a coup on national radio. Obstacles abound, testing their resolve in this thought-provoking film on Turkey's politics.",Pelicula,https://filmzie.com/content/the-announcement-2017
The Right Juice,English,English,2014,92 min,"Comedy, Drama, Romance, European Production","Join Oliver Fellows, a former banker, in his pursuit of fulfillment on a Portuguese farm. With neighbor Manel, they embark on a humorous quest to save their valley from ruthless exploitation.",Pelicula,https://filmzie.com/content/the-right-juice-2014
Kingdom and Wisdom's Parables,English,Subtitles,2019,0 min,Animation,Stories with important messages addressing personal and human growth. It is important for reflection and learning.,Serie,https://filmzie.com/content/kingdom-and-wisdoms-parables-2019
Rainfalls,English,English,2020,79 min,Thriller,"Imperfect preacher Taylor faces temptation but resists, even as the church organist Emily falls in love with him. Intriguing drama unfolds.",Pelicula,https://filmzie.com/content/rainfalls-2020
The Panther of the Border,Spanish,"English, Spanish, Portuguese",2022,91 min,Action,"A young woman who works as a secretary is raped, and unjustly accused of drug trafficking, a corrupt system finds her guilty and makes her pay a long prison sentence.The Panther of the Border seeks revenge against a ruthless drug cartel.",Pelicula,https://filmzie.com/content/the-panther-of-the-border-2022
Conspiracy Theory,English,English,2016,79 min,"Horror, Thriller","Unveiling a horrifying secret beneath Lake Mead, a TV crew's journey in southern Nevada takes a chilling turn.",Pelicula,https://filmzie.com/content/conspiracy-theory
Coronavirus: The Pandemic,Spanish,"English, Spanish, Portuguese",2021,49 min,Documentary,"Coronavirus, The Pandemic deals with the social, economic, personal, professional, and emotional consequences on freelancers, health workers, businessmen, actresses, technicians, hoteliers, tour operators, journalists, teachers, and psychologists.",Pelicula,https://filmzie.com/content/coronavirus-the-pandemic-2021
Resentment,Romanian,English,2019,94 min,"Drama, War","Seeking love at 30, Galina encounters a soldier destined for war, not romance.",Pelicula,https://filmzie.com/content/resentment-2019
Sad Song of Yellow Skin,English,None,1970,58 min,Documentary,Experience the people of Saigon through the lens of three young American journalists investigating the aftermath of the Vietnam War and the impact of the American presence.,Pelicula,https://filmzie.com/content/sad-song-of-yellow-skin
An Affair to Die For,English,English,2019,82 min,"Horror, Thriller","A secret rendezvous. A man cheats on his wife. A woman cheats on her husband. And then everything goes bad, quickly.",Pelicula,https://filmzie.com/content/an-affair-to-die-for-2019
With Spirit,English,None,2020,51 min,"Documentary, Adventure","Using her feet to move through the grief in her heart, Chelsey Magness and Team BendRacing/Yogaslackers take on one of the wildest and hardest races in the world - the Patagonian Expedition Race.",Pelicula,https://filmzie.com/content/with-spirit-2020
The Art of Losing,Spanish,English,2015,85 min,"Drama, European Production","The story of Victor, a thirty year old boy suffering from the Spanish recession, who has no job, no girlfriend and an unfairly bad relationship with his parents.",Pelicula,https://filmzie.com/content/the-art-of-losing-2015
Curtino Bros,Spanish,"English, Portuguese",2020,71 min,Comedy,"A decadent lawyer, a mafia boss in retreat; a convict thirsty for revenge; a former orthodox Jew who runs a brothel, a failed clown, a Slovak criminal who dreams of fame and the Montecastro neighborhood as a backdrop.",Pelicula,https://filmzie.com/content/curtino-bros-2020
Repairing,Spanish,"English, Spanish, Portuguese",2010,69 min,"Documentary, Biography, Drama","After a long, devastating 36 year civil war in Guatemala, victims are being transformed into champions who willfully embrace their past to help repair the next generation. This is their story.",Pelicula,https://filmzie.com/content/repairing-2010
The Fucking Lack of Love,German,English,2018,30 min,"Short, Drama","Emma, head of a film production company, and her daughter Luna navigate love and identity in Vienna's cultural society. Blanka's arrival sparks change and connection, challenging their dynamics.",Pelicula,https://filmzie.com/content/the-fucking-lack-of-love-2018
Galactic Blitz,English,Subtitles,2015,0 min,"Animation, Sci-Fi","Technology from alien ships that crashed on earth was planned for use in the ongoing war on terrorism. However, when the alien invaders appear, the mission changes to global defense of the planet.",Serie,https://filmzie.com/content/galactic-blitz-2015
Night Zero,English,None,2018,81 min,"Horror, Sci-Fi, Thriller",Three couples fight to survive in the aftermath of a devastating catastrophe in Baltimore. #Survival #Catastrophe #Baltimore,Pelicula,https://filmzie.com/content/night-zero-2018
Snap,English,None,2010,89 min,"Drama, European Production","Enter the world of Sandra, an angry woman facing media backlash. In this scathing Irish meller, witness the aftermath of her son's notorious kidnapping.",Pelicula,https://filmzie.com/content/snap
Voevoda,Bulgarian,English,2017,123 min,"Action, Biography, Drama","A mother, forced to abandon her child and home, leads a rebellious band and inflicts her own justice in the brutal men's world of 19th century.",Pelicula,https://filmzie.com/content/voevoda-2017
Rain Beau's End,English,None,2020,102 min,Drama,"When a prominent lesbian couple adopts a child diagnosed with a genetic predisposition for violence, they must contend with their hard-lined stance on acceptance while attempting to raise the perfect family in the spotlight.",Pelicula,https://filmzie.com/content/rain-beaus-end-2020
The Paraseekers,English,Subtitles,2018,0 min,Reality TV,"Join the team investigating Corrados farm's haunted hay ride, exploring its rich history and apparitions in the most haunted place in New Jersey.",Serie,https://filmzie.com/content/the-paraseekers-2018
Only Human,Slovak,English,2020,28 min,"Short, Drama, Romance","A short movie about a relationship of a talented pianist Christoph and an experienced porn-star Philip opens a complex topic of prejudice in society, as well as within LGBTI community.",Pelicula,https://filmzie.com/content/only-human-2020
Liquid Gold: From the Mediterranean to the Midwest,English,English,2022,46 min,Reality TV,"Join Peter Schultz on a transformative journey to Greece, exploring its rich history and culture. It's not just a vacation; it's an immersive experience that goes beyond the surface.",Pelicula,https://filmzie.com/content/liquid-gold-from-the-mediterranean-to-the-midwest-2022
One-Eyed Jacks,English,English,1961,140 min,"Drama, Western","Mexican bank heist: Dad Longworth betrays partner Rio, who seeks revenge. Escaping captivity, Rio hunts Dad in California for the loot. Thrilling chase unfolds.",Pelicula,https://filmzie.com/content/one-eyed-jacks-1961
We Were Children,Multiple languages,None,2012,83 min,Drama,"For 130 years, 100,000+ First Nations children attended Christian-run 'residential schools' in Canada, enduring brutality and cultural erasure. 'We Were Children' unveils the shocking true story of Glen Anaquod and Lyna Hart.",Pelicula,https://filmzie.com/content/we-were-children
Rescue Vet,English,Subtitles,2012,0 min,Reality TV,"In a brand new 13-part series, three American veterinary clinics open their doors and bring viewers inside their world of animal rescue.",Serie,https://filmzie.com/content/rescue-vet-2012
Call Me Thief,Afrikaans,English,2016,120 min,"Crime, Drama",A film based on the true life story of a young man who becomes a storyteller in jail.,Pelicula,https://filmzie.com/content/call-me-thief-2016
Sara,Spanish,English,2017,25 min,Short,"In memory of Ramiro Tejada, experience a Carolina Ceballos film that captivates.",Pelicula,https://filmzie.com/content/sara-2017
Wall,English,None,2017,79 min,"Animation, Documentary",Join David Hare on a Middle East journey as he explores the profound impact of the Israel-Palestine wall on the region's inhabitants in the thought-provoking documentary WALL.,Pelicula,https://filmzie.com/content/wall
Erasing Family,English,"English, Spanish",2020,92 min,Documentary,"Witness the impactful documentary ""Erasing Family"" as it exposes the heart-wrenching effects of parental alienation and advocates for shared parenting. Experience the power of reunification and inspire change.",Pelicula,https://filmzie.com/content/erasing-family-2020
Tomorrow,Spanish,English,2018,15 min,"Short, European Production","Haunted by a violent past, a man abandons his family and farm, embarking on an unpredictable journey toward an uncertain destiny.",Pelicula,https://filmzie.com/content/tomorrow
I Danced For The Angel Of Death: The Dr. Edith Eva Eger Story,English,English,2021,56 min,Documentary,"Dr. Edith Eva Eger, a Holocaust survivor, shares her extraordinary journey, including a life-defining dance before Dr. Joseph Mengele. Experience her powerful story in this unique and compelling documentary.",Pelicula,https://filmzie.com/content/i-danced-for-the-angel-of-death-the-dr-edith-eva-eger-story-2021
Choppertown: The Sinners,English,English,2005,92 min,"Documentary, Action, Adventure",Custom chopper builder and punk rocker Kutty Noteboom builds his working man's chopper from the ground up with the help of good friend Rico and the rest of his biker brothers in this intimate award-winning documentary about renowned hot rod and motorcycle club the Sinners.,Pelicula,https://filmzie.com/content/choppertown-the-sinners-2005
Peace Piece: The Immersive Poems Of Mandy Kahn,English,English,2019,74 min,Documentary,"Critically acclaimed LA Writer Mandy Kahn pioneers ""immersive poems,"" a unique style that brings poetry to life, conveying her profound message of peace and unity to diverse communities.",Pelicula,https://filmzie.com/content/peace-piece-the-immersive-poems-of-mandy-kahn-2019
Jameson,English,English,2018,11 min,"Horror, Short","Tranquility shatters as three perilous travelers besiege a man's secluded woodland cabin, unraveling his peaceful existence.",Pelicula,https://filmzie.com/content/jameson
Laughology,English,None,2009,66 min,Documentary,"Unveiling laughter's secrets! LAUGHOLOGY, a groundbreaking documentary, challenges Plato, the Bible, and your school's ban on laughter. Join this hilarious odyssey into the essence of laughter and its adversaries.",Pelicula,https://filmzie.com/content/laughology-2010
Vanilla,French,English (embedded),2019,22 min,"Drama, Short, European Production","The day before the birth of her first child, Pia a young woman, during a romantic weekend with her girlfriend Raphaëlle, will see her life turned upside down by the meeting of a young transgender child, Nate, just landed from Texas with his father.",Pelicula,https://filmzie.com/content/vanilla-2019
Micropubs: The New Local,English,English,2020,64 min,"Documentary, European Production","Three London entrepreneurs embrace the micropub craze, bringing real ale, conversation, and community spirit to their local high streets.",Pelicula,https://filmzie.com/content/micropubs-the-new-local-2020
Acceptance,Hebrew,English (embedded),2020,17 min,"Drama, Short","Sa'ar, a crisis management consultant, is working through her own personal crisis as she reconciles with the death of her marriage. From the high hills of Jerusalem to the depths of the Dead Sea, Saar struggles to accept her own transformation.",Pelicula,https://filmzie.com/content/acceptance-2020
Orchid Head,English,English (embedded),2016,20 min,"Short, Documentary, European Production",Angélica has a problem with her sexuality: she is mentally and physically blocked. A video diary shared with two other women helps her explore her memories and understand her body.,Pelicula,https://filmzie.com/content/orchid-head-2016
Avalanche,English,English,2018,83 min,"Comedy, Drama","A librarian, his wife, and her lover become trapped in a house together and are forced to navigate the chaotic fallout of their indiscretions.",Pelicula,https://filmzie.com/content/avalanche-2018
Lawless Range,English,None,2018,84 min,"Drama, Thriller","Two brothers, both with wife and kid, work on a Texas ranch. One's always getting into trouble and the other bailing him out. But this time it's a $6,000 debt to dangerous people.",Pelicula,https://filmzie.com/content/lawless-range-2018
Planet Zee,English,English,2021,96 min,"Comedy, Horror","Join Zee and Granny Sam in a twisted online game that traps them in a nightmarish room. Experience violence, death, and an eerie battle for survival.",Pelicula,https://filmzie.com/content/planet-zee-2021
Insectula!,English,"German, English, Spanish, French",2015,101 min,"Comedy, Horror, Sci-Fi","Driven by CO2 pollution, a colossal alien mosquito invades Earth, craving blood. Agent Del seeks vengeance after losing loved ones, while Dr. Kempler is captivated, aiming to aid the creature in purifying the planet.",Pelicula,https://filmzie.com/content/insectula-2015
In Bed With An Elephant,English,None,1986,59 min,Documentary,Explore the intricate history of the USA and Canada relationship in this enlightening documentary.,Pelicula,https://filmzie.com/content/in-bed-with-an-elephant
Sleepless Nights,English,English,2022,88 min,Horror,"In the shadowy streets of New York, vampire lovers and vampire slayers clash in a blood-spattered battle for world domination. Who will rule the night? A candlelit, fang-filled thriller in the eerie tradition of Dark Shadows.",Pelicula,https://filmzie.com/content/sleepless-nights-2022
Urumi: The Warriors Who Wanted to Kill Vasco Da Gama,Hindi,English,2011,146 min,"Action, Drama","Chirakkal Kelu Nayanar, a warrior in 16th century Kerala wants to avenge his father killed in a confrontation with Vasco da Gama and his troops and is assisted by his best friend Vavvali and warrior princess Ayesha.",Pelicula,https://filmzie.com/content/urumi-the-warriors-who-wanted-to-kill-vasco-da-gama-2011
Perfect Girl,English,Subtitles,2014,0 min,"Comedy, Drama, Romance","High school crushes, letters, lingering glances. A decade later, they reunite. Self-doubt, fear of rejection, and lost fantasies hinder their perfect union.",Serie,https://filmzie.com/content/perfect-girl-2014
Song of the Paddle,English,None,1978,40 min,Short,"Mason family's Ontario canoe trip: nature immersion, risk assessment, Lake Superior challenges, wildlife, rock art, stunning scenery.",Pelicula,https://filmzie.com/content/song-of-the-paddle
The Jungle Book,English,English,1942,105 min,"Action, Adventure, Family",Witness the extraordinary journey of a boy raised by wild animals as he navigates the challenges of adapting to village life.,Pelicula,https://filmzie.com/content/the-jungle-book-1942
Filthy Animals,English,None,2021,1 min,Short,"Esther's world is shattered when a menacing catcall leaves her fearing for her safety. Is she in danger, or is there more to the story?",Pelicula,https://filmzie.com/content/filthy-animals-2021
Truth,English,None,2013,93 min,"Drama, Thriller","A suspenseful, psychological thriller, ""Truth"" exposes the hidden demons buried deep inside each and every one of us. After a chance encounter over the Internet, Caleb, who suffers from borderline personality disorder, meets and falls head over heels for Jeremy, and soon the line between love and lies blur. Struggling to keep his past a secret, including his mentally ill mother, Caleb slowly succumbs to his darker side. A sudden turn of events finds Jeremy held captive, until Caleb's quest for the truth be revealed.",Pelicula,https://filmzie.com/content/truth-2013
Tell No Tales,English,English,2019,11 min,"Short, Thriller, Western","In the desert, a train robber, mercenary, and Korean cowboy unite for their final heist, entangling their fates in pursuit of one last score.",Pelicula,https://filmzie.com/content/tell-no-tales
The Before Time,English,English,2014,79 min,"Horror, Mystery, Thriller",Rival crews venture into the desert for a reality show on a buried Navajo treasure. Uncovering truth becomes deadly as something hunts them down. Thrilling adventure!,Pelicula,https://filmzie.com/content/the-before-time-2014
Busting Out,English,None,2004,57 min,Documentary,"BUSTING OUT challenges perceptions of breasts. Filmmaker Francine Strickwerda, affected by breast cancer and early development, delves into the history and politics of this American icon. Join her journey.",Pelicula,https://filmzie.com/content/busting-out-2004
In The Shadow Of The Revolution,Spanish,English (embedded),2017,50 min,Documentary,"Gain alternative perspectives on Venezuela's Bolivarian Revolution in the independent documentary ""In the Shadow of the Revolution."" Stream for free and explore the counternarrative behind the country's current challenges.",Pelicula,https://filmzie.com/content/in-the-shadow-of-the-revolution-2017
Disappear,Spanish,"English, Spanish, Portuguese",2020,99 min,Drama,"A choral story that talks about the acceptance of death as a decisive step towards adulthood, and specifically about this ""passage ritual"" in the ""Millennial"" generation, since they have had to grow up seeing life through a screen.",Pelicula,https://filmzie.com/content/disappear-2020
Ruptured,English,English,2019,6 min,"Horror, Short, European Production",Experience unparalleled immersion like never before.,Pelicula,https://filmzie.com/content/ruptured
Meth Head,English,English,2013,107 min,Drama,"Meth Head is a cautionary tale about extremes. Like BREAKING BAD, the film depicts the terrifying consequences of meth in America. An innocent night of partying leads Kyle to new friends and crystal meth, eventually costing him everything.",Pelicula,https://filmzie.com/content/meth-head-2013
Killing Zelda Sparks,English,English,2007,91 min,"Comedy, Drama","In the web of a toxic bond, Craig yearns to escape Zelda's grasp. When she resurfaces after years, he seeks help from Terry. Together, they plot a revenge prank, unaware of its potentially lethal consequences.",Pelicula,https://filmzie.com/content/killing-zelda-sparks-2007
Flesh Wounds,English,English,2011,81 min,"Action, Sci-Fi, Thriller","Flesh Wounds: On a remote US Army facility, a group of scientists conducting top secret weapon experiments, vanish. An elite covert ops team, commanded by Lt. Tyler (Kevin Sorbo), is tasked with recovering the missing personnel within 24 hours.",Pelicula,https://filmzie.com/content/flesh-wounds-2011
Love Out Loud,Spanish,English (embedded),2023,35 min,"Drama, Fantasy","A compilation of short films: Train Stop, The Land of Claus, Whe Wandering Witch. Discover the magic of unexpected connections in this trio of heartwarming tales. From a chance train station encounter to a Christmas wish and a mother's last-minute wedding interference, love and family take center stage in this touching compilation.",Pelicula,https://filmzie.com/content/love-out-loud-2023
Natural Rejection,English,English,2013,79 min,"Drama, Romance, Thriller","A deadly 'Cure' concocted by a mysterious man threatens to eliminate all women on Earth, unleashing chaos and a desperate fight for survival.",Pelicula,https://filmzie.com/content/natural-rejection-2013
Available,English,"English, Spanish",2016,72 min,"Drama, Thriller","James Kane, lured by an ex's invite to Oktoberfest in Germany, faces haunting espionage threats from his past. Survival hinges on battling inner demons.",Pelicula,https://filmzie.com/content/available-2016
Hand Luggage,Spanish,English (embedded),2020,14 min,"Short, Thriller, European Production",Isabel takes a carry-on suitcase and begins to fill it with clothes under Patricia's watchful eye. Each item of clothing that you keep in it will be one more step to overcome your fears and rebuild your broken dreams.,Pelicula,https://filmzie.com/content/hand-luggage-2020
The Infected,Spanish,English,2011,75 min,"Drama, Horror","Revolves around Marcos, a thirty something year old man largely unremarkable but for the fact that he managed to escape an epidemic of the undead sweeping through Mexico City - and, indeed, the world - by taking flight and surviving as best he can in the remote hill country. It is there that he meets and takes up with the oafish Renato, young mother Claudia and her young daughter Zoe. The rules to survive are simple. Leave no trace, make no sound and leave no odors behind. The undead, you see, hunt by sound and smell. And no matter how careful Marcos and his group are, the undead are ranging farther and farther afield looking for food as the population in the city dwindles. It is only a matter of time before they are found.",Pelicula,https://filmzie.com/content/the-infected-2011
The Heart of the Volcano,Spanish,English,2020,20 min,Short,"In a desperate act, Gregorio strikes a deal with a warlock to save his daughter's soul. As his strength fades and crops wither, Nextli embarks on a journey to free her father's soul and reclaim their land at the volcano's summit.",Pelicula,https://filmzie.com/content/the-heart-of-the-volcano-2020
Dearest Jane,English,English,2015,98 min,"Drama, Romance","In the isolated Indiana countryside, a troubled girl confronts her fear of change, love, and acceptance. Dearest Jane explores relatable issues with universal appeal, captivating viewers of all backgrounds.",Pelicula,https://filmzie.com/content/dearest-jane
Beauty,Multiple languages,English (embedded),2018,23 min,Short,"""Beauty,"" a documentary by Christina Willings, delves into the lives of five gender-creative kids challenging societal norms. Witness their courageous journey of self-discovery and redefining humanity.",Pelicula,https://filmzie.com/content/beauty
Bisho,Spanish,English,2020,24 min,Short,"The neighbor’s dog won’t stop barking. Emilio and Susana can’t sleep—or stop fighting. The barking and howling, both the dog’s and the couple’s, will lead to their inevitable separation. Emilio will wrongly explode with anger, sadness, and insecurity. Overcome with guilt, he will have to face himself and make an unexpected choice.",Pelicula,https://filmzie.com/content/bisho-2020
Forget Me Not,English,English,2009,103 min,"Horror, Romance, Thriller","A group of recent high school graduates falls victim to the vengeful spirit of an innocent girl they wronged in the past, as chilling retribution ensues.",Pelicula,https://filmzie.com/content/forget-me-not-2009
Of Hearts and Castles,English,English,2020,14 min,"Drama, Romance, Short",A man who's deep in the throes of a break-up meets another man for a night in Los Angeles that will forever keep them connected.,Pelicula,https://filmzie.com/content/of-hearts-and-castles-2020
Second Chance,English,None,2022,75 min,"Documentary, Family","A brave mother with a rare disease writes inspirational songs for her teenage daughter to sing, before receiving a transplant where the odds are 50/50.",Pelicula,https://filmzie.com/content/second-chance-2021
Mini Chef Cooks,English,Subtitles,2017,0 min,"Documentary, Family","Cook alongside Isabella the Mini Chef and enjoy quick, simple recipes for the whole family. Join the culinary fun and make cooking a breeze!",Serie,https://filmzie.com/content/mini-chef-cooks-2017
7th Generation,English,English,2015,45 min,Documentary,"7th Generation delves into Jim Warne's endeavor to assist Tribal Nations in thriving within modern America while preserving their indigenous identity. - John-L Voth, Director and Editor.",Pelicula,https://filmzie.com/content/7th-generation-2015
