titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
The Girl in the Cornfield,English,English,2016,79,"Horror, Mystery","Three young women on a dark country road cross paths with a mysterious girl in a white dress, revealing a hidden truth beyond their expectations.",Pelicula,https://filmzie.com/content/the-girl-in-the-cornfield-2016
Paris 1919,French,No contiene subtitulos,2009,94,"Documentary, Drama, History, European Production","Explore the aftermath of World War I in this gripping documentary. Witness the Paris Peace Conference, national boundary issues, and the birth of new nations. Discover the roots of World War II.",Pelicula,https://filmzie.com/content/paris-1919
The Last Christmas Party,English,English,2020,83,"Drama, Romance",Three college couples spend one final night having a Christmas party before they go off for winter break.,Pelicula,https://filmzie.com/content/the-last-christmas-party-2020
They Survived Together,English,No contiene subtitulos,2021,73,Documentary,"A family's harrowing escape from Nazi invasion in WWII Poland, battling for survival against all odds. A gripping tale of resilience and courage.",Pelicula,https://filmzie.com/content/they-survived-together-2021
Continuum,English,English,2012,82,Sci-Fi,A beautiful young woman awakens aboard an adrift space ship with no memory of who she is or how she got there and at the mercy of the ship's mysterious computer.,Pelicula,https://filmzie.com/content/continuum-2012
Game Face,English,English,2015,95,"Documentary, Sport","This documentary tells the parallel story of Fallon Fox, MMA's first transgender pro fighter, and Terrence Clemens, a college basketball player in Oklahoma who happens to be gay. The film follows both athletes during their coming out process, and sheds light on the obstacles LGBTQ sports players deal with throughout their career.",Pelicula,https://filmzie.com/content/game-face-2015
Huldra and Photographer,English,English,2021,8,"Horror, Fantasy",Huldra and Photographer is a story of a nature photographer who accidentally captures a beautiful but sinister Huldra while he discovers the world of the forest spirits.,Pelicula,https://filmzie.com/content/huldra-and-photographer-2021
Pumpkin Spiced Musical,English,"English, Spanish, French",2022,84,Musical,"A hopelessly optimistic advertising pitch man attempts to save his financially failing ad agency by profiting off the seasonal pumpkin spice craze with a scheme to market and sell a unique, pumpkin spiced scented product.",Pelicula,https://filmzie.com/content/pumpkin-spiced-musical-2022
The Peacekeepers,Multiple languages,No contiene subtitulos,2005,83,Documentary,"""The Peacekeepers"" grants rare access to United Nations Department Peacekeeping, capturing their desperate struggle to save a ""failed state."" Witness their gripping efforts to prevent a Rwandan-like disaster in the DRC.",Pelicula,https://filmzie.com/content/the-peacekeepers
1533 Km. to Home,Spanish,English,2019,60,"Documentary, History, War","This is the story of the 1982 Falklands War told through the eyes of eight former Argentinean soldiers and sailors who fought to defend their country’s claim to the inhospitable islands, facing off against a massive British force sent to retake them.",Pelicula,https://filmzie.com/content/1533-km-to-home-2019
Death Trip,English,English,2021,101,"Horror, Thriller","Four friends take a cottage trip in the dead of winter. During their stay, they discover dark details about the neighboring cottagers. After one of the friends is found mutilated, the group worries they're being targeted by angry locals.",Pelicula,https://filmzie.com/content/death-trip-2021
Strange Invaders,English,No contiene subtitulos,2001,8,"Animation, Short, Comedy, Fantasy, Sci-Fi","In their quest to conceive, Doris and Roger encounter an otherworldly surprise. Chaos ensues as the child-like creature wreaks havoc, raising questions of escape, dreams, and a foreboding future.",Pelicula,https://filmzie.com/content/strange-invaders
Amancio: Village Vampire,Spanish,English,2018,17,"Short, Horror, European Production","In a bar without patrons, the bartender longs for good times. But when two visitors arrive, his thirst for blood clashes with a surprising twist. Will he choose solitude or his primal cravings?",Pelicula,https://filmzie.com/content/amancio-village-vampire-2018
Gone with the Wind: The Remarkable Rise and Tragic Fall of Lynyrd Skynyrd,English,No contiene subtitulos,2015,163,Documentary,The story of the Southern rock band Lynyrd Skynyrd from their early beginnings to the fatal plane that ended the original incarnation of the group.,Pelicula,https://filmzie.com/content/gone-with-the-wind-the-remarkable-rise-and-tragic-fall-of-lynyrd-skynyrd-2015
Kayla,English,No contiene subtitulos,2018,13,"Short, Drama, European Production","In the world of dementia care, Sarah (27) grapples with a decision as her employer Stanley (80) confuses her with his granddaughter. A poignant tale unfolds.",Pelicula,https://filmzie.com/content/kayla
Beartales: The Adventure of Sammy Jay,English,English,2018,88,"Animation, Family","Join Papa Bear and Baby Bear on their magical airship adventure, where they share classic bedtime fairytales. Beartales: Bedtime Stories offers a delightful way for kids to enjoy their favorite tales and drift off to sleep.",Pelicula,https://filmzie.com/content/beartales-the-adventure-of-sammy-jay-2018
Paul,English,No contiene subtitulos,2015,15,"Documentary, Short, Sport","Inspiring doc: Paul, a 13yo from Dunoon, South Africa, dreams of surfing. No transport or funds, but a non-profit helps him. Follow his week-long journey. Narrated by surf legend Robby Naish. Life-changing.",Pelicula,https://filmzie.com/content/paul
Amazon Hot Box,English,"Arabic, English, Spanish, French, Icelandic, Italian, Japanese, Dutch, Portuguese, Russian, Serbian, Swedish, Vietnamese, Chinese",2018,82,"Action, Drama, Horror","An innocent college student is tossed into a jungle hellhole where she must fight for her life against an evil wardress, psycho inmates, voodoo experiments and the incredible torture machine.",Pelicula,https://filmzie.com/content/amazon-hot-box-2018
The Selling,English,English,2011,89,Comedy,A too-honest-for-his-own-good real estate agent has to sell a haunted house before its ghostly inhabitants ruin his life.,Pelicula,https://filmzie.com/content/the-selling-2011
Black Sun,English,No contiene subtitulos,2005,69,"Documentary, European Production","Witness the inspiring journey of Hugues de Montalembert in Gary Tarn's award-winning documentary, BLACK SUN. Experience his resilience after a life-altering attack.",Pelicula,https://filmzie.com/content/black-sun
Homeless in Los Angeles,English,English,2011,69,"Documentary, Biography, Crime",Michael and others reveal their dark pasts and their frantic fight for survival on the unforgiving streets of the City of Angels. This vivid documentary casts an even darker shadow on the already harsh conditions of living homeless in Los Angeles.,Pelicula,https://filmzie.com/content/homeless-in-los-angeles-2011
A Million to Juan,English,English,1994,93,Comedy,"Romantic comedy about an honest Mexican immigrant who struggles without a green card by selling oranges on a street corner. One day a limousine pulls up and he is handed a check for $1,000,000 with instructions that he is to give the check back in 30 days. Initially he uses the check to convince people to extend credit to him. In the meantime he also attracts a woman who is in a dead end relationship with a bossy businessman. At the end of the 30 days, he finds his life in turmoil, the things he got on credit is repossessed, and he is being evicted from his dwelling and being sent back to Mexico.",Pelicula,https://filmzie.com/content/a-million-to-juan-1994
The Earth Calling Ana,Spanish,English,2019,21,"Short, Romance",Ana and Juan's tale of love and home.,Pelicula,https://filmzie.com/content/the-earth-calling-ana-2019
Ice Cream in the Cupboard,English,English,2019,90,"Biography, Drama, Romance","After being physically attacked by his loving wife Carmen, a series of unsettling incidents lead her husband Pat to question just what is happening to her. It's only when Carmen can't find her own house one day, that she and Pat are ready to face the unimaginable: Carmen has early onset Alzheimer's. As her cognition deteriorates, and the time draws closer when Carmen will no longer even recognize her devoted husband, Pat finds refuge in the only place left that the disease can't reach -- his memories of their life together.",Pelicula,https://filmzie.com/content/ice-cream-in-the-cupboard-2019
Always on My Mind,Spanish,English (embedded),2013,11,"Drama, Short","New year´s eve is crucial to the lives of Zoe, Gabriel and Adrian. They believed they had found the formula of perfect love. They want to be happy but the complexity of a threesome and not feeling loved in return will skirt them to make choices that will affect them forever. ",Pelicula,https://filmzie.com/content/always-on-my-mind-2013
Red Army Hooligans,English,English,2018,87,Crime,"Tony, leader of a London Hooligan firm, seeks payback after a head injury sidelines him. 2018 World Cup in Russia becomes his battleground.",Pelicula,https://filmzie.com/content/red-army-hooligans-2018
Alone,English,No contiene subtitulos,2015,11,Thriller,"Nina is caught between two realities, one defined by the oppressive care of her partner, the other, a way out offered by a mysterious young woman. A haunting story of one woman’s attempt to gain freedom and live as her true self no matter what the cost. Alone is a subtle psychological thriller that considers the struggle for identity as a battle between the way in which others see us and the terms by which we choose to define ourselves.",Pelicula,https://filmzie.com/content/alone-2015
Sunday Dinner,English,English,2020,14,"Short, Comedy","After the recent death of their parents, a passionate Italian-American family reunites to enjoy their customary Sunday dinner. But one of them has a major confession that threatens to unravel their beloved tradition.",Pelicula,https://filmzie.com/content/sunday-dinner-2020
The Sinners,Persian,English,2012,93,"Crime, Drama, Mystery",The story is about a girl who got murdered suspiciously. In her life she knew many people but each person has his own perspectives about her.,Pelicula,https://filmzie.com/content/the-sinners-2012
Resentment,Romanian,English,2019,94,"Drama, War","Seeking love at 30, Galina encounters a soldier destined for war, not romance.",Pelicula,https://filmzie.com/content/resentment-2019
The Way Home,English,English,2010,90,"Drama, Family",An inspirational true story about how a rural community rallied around a distraught family to search for their missing two year-old boy and through doing so changed the lives of many of those involved.,Pelicula,https://filmzie.com/content/the-way-home-2010
Kamagra,French,English,2019,26,Short,A film by Mark Baris.,Pelicula,https://filmzie.com/content/kamagra-2019
Trovadores,Spanish,English,2014,72,"Documentary, Drama, Music, European Production","""Troubadours"" unveils the hidden success of four artists in an enigmatic town. This fearless film explores art, fame, and madness while revealing the magic in ordinary moments.",Pelicula,https://filmzie.com/content/trovadores-2014
Cerro Rico: The Silver Mountain,Spanish,English,2015,31,"Documentary, Short, European Production","Cerro Rico, the significant mountain in Bolivian highlands, has been a silver mining site for 400 years. Witness the perilous world's most dangerous job in this unique and impactful film.",Pelicula,https://filmzie.com/content/cerro-rico-the-silver-mountain-2015
Bella,Modern Greek (1453-),English,2020,24,"Short, Drama","In the midst of Greece's shifting landscape, Anthi witnesses transformations in her country, the world, and her partner Christos during a pivotal era.",Pelicula,https://filmzie.com/content/bella-2020
The Adventures of Edson Jean,English,English,2013,19,"Adventure, Short, Comedy","A young man seeks college tuition funds, leading him to his neighborhood's go-to guy in this Miami-based comedy short. Starring Marckenson Charles & Edson Jean.",Pelicula,https://filmzie.com/content/the-adventures-of-edson-jean-2013
Rednecks,English,No contiene subtitulos,2017,98,"Comedy, Musical","A band of adventurers sets off in pursuit of fame, fortune, and their wildest dreams. Join the rednecks on an unforgettable journey.",Pelicula,https://filmzie.com/content/rednecks-2017
The Gift,English,English,2015,12,"Short, Biography, Drama, European Production","On his eleventh birthday, a young boy joyfully picks his present, unaware of the profound impact his selection is about to have on the world.",Pelicula,https://filmzie.com/content/the-gift-2015
Saints and Soldiers,English,No contiene subtitulos,2003,90,"Action, Drama, War",Four American soldiers and one Brit fighting in Europe during World War II struggle to return to Allied territory after being separated from U.S. forces during the historic Malmedy Massacre.,Pelicula,https://filmzie.com/content/saints-and-soldiers-2003-0
Atmosphere,Spanish,English (embedded),2010,20,"Drama, Romance, Short","Cecilia, Alberto, and Felipe face an epidemic in a deserted coastal town. Their uncontrollable desire compels them to seek the sea.",Pelicula,https://filmzie.com/content/atmosphere
Forgiving God,English,English,2022,87,"Drama, Family","Jon Moore, orphaned at 9 and raised in an abusive foster system, learns about faith and forgiveness from a mysterious girl he meets while placed in a final foster home. He falls in love only to learn that she harbors a tragedy of her own.",Pelicula,https://filmzie.com/content/forgiving-god-2022
Mum I’m Scurgry,English,No contiene subtitulos,2019,6,"Animation, Short, European Production","Mum I’m Scurgry is a silent 6’40’’ animation film which is constructed by black lines that form and reform abstract transmuting figures on a white background, composing a moving image collage of declarative and non-declarative memory. Linking phenomenologically unlinked phenomena, the project aims to access the innocence and vulgarity of a pre-oral knowledge that meanders in between the conscious and the unconscious mind.",Pelicula,https://filmzie.com/content/mum-im-scurgry-2019
Upside Down Revolution,English,No contiene subtitulos,2017,17,"Drama, Short, European Production","One day, a man, condemned to crawl on the ground of a vast desert, finds himself face to face with a peculiar vertical mast, planted in the dirt. He approaches it and tries to cling to it. Rising slowly, he understands that this mast is perhaps his only way to escape the overwhelming gravity of his universe.",Pelicula,https://filmzie.com/content/upside-down-revolution-2017
Normal,English,No contiene subtitulos,2013,88,"Drama, Thriller","Jim, a troubled superintendent, revisits his tortured past. Mysterious tenants and haunting flashbacks reveal dark secrets, questioning normalcy. Prepare for a reality-shattering journey.",Pelicula,https://filmzie.com/content/normal
The Anthropophages,Spanish,"English, Portuguese",2019,89,Horror,"The arrival of some strange people to a distant population begins a series of macabre events, habitants and authorities of the place will do their best to make the guilty pay for his actions, without knowing, that could discover a terrifying truth.",Pelicula,https://filmzie.com/content/the-anthropophages-2019
Espionage Tonight,English,English,2017,86,"Action, Comedy","In a government-created reality TV show featuring spies, audiences embark on simulated undercover missions where truth and fiction blur together.",Pelicula,https://filmzie.com/content/espionage-tonight-2017
Penitent,English,English,2017,66,"Drama, European Production","Released from prison, Jason cannot live with the guilt of killing a child.",Pelicula,https://filmzie.com/content/penitent-2017
Comfort,English,English,2016,105,Romance,A late night courier boy agrees to pick up the feisty daughter of an important client. The two youngsters form a close connection and spend two nights exploring LA's local food scene while their romance blossoms.,Pelicula,https://filmzie.com/content/comfort
Nollywood Babylon,English,English (embedded),2008,74,Documentary,"Unleash the power of Nollywood, Nigeria's booming film industry. ""Nollywood Babylon"" is a vibrant documentary capturing its global success and cultural impact.",Pelicula,https://filmzie.com/content/nollywood-babylon
Proper Binge,English,No contiene subtitulos,2017,106,"Comedy, Drama","For Burgess ""Buzz"" Zwink (Bradford Jackson), wasting life is a way of life. At thirty-two years old, and still living with his parents, Buzz's adult life seems to be nothing more than a continuous haze of debauchery. That is until his carefree recklessness lands his lifelong friend in the hospital after another of his drunken mishaps. Faced with the reality of his choices as he reluctantly forces himself into sobriety, Buzz begins to realize just how much pain he has caused to those around him. With the help of a young Inupiaq boy (D'Artagnon Moonin), and an elderly, life-long alcoholic (Thomas G. Jacobs), Buzz must face his past, present, and possible future in order to take his life back from the bottle, and above all else, seek forgiveness not only from those he has wronged, but from himself.",Pelicula,https://filmzie.com/content/proper-binge-2017
Mister Scrooge to See You!,English,English,2013,116,Adventure,"One year after the classic Dickens' A Christmas Carol Ebenezer Scrooge finds himself on a new journey. Once again he is visited by Jacob Marley. This time Scrooge is sent on an adventure which takes him into the life of Timothy Cratchit the VI, the great, great, great grandson of Bob Cratchit.",Pelicula,https://filmzie.com/content/mister-scrooge-to-see-you-2013-0
Escaped Devotion,English,No contiene subtitulos,2024,74,Drama,When a woman thinks she's finally found true love she's in for a rude awakening. It becomes a race against time should she stay or should she go.,Pelicula,https://filmzie.com/content/escaped-devotion-2024
The Spirit Board Sessions,English,English,2022,61,Horror,"When a documentary film crew sets up their final Ouija Board interview at a southern bayou mansion to sit down with the owner, they are met with more than paranormal stories. As the owner of the house shares her experiences, they begin to come to life and no one is safe from the demonic spirits.",Pelicula,https://filmzie.com/content/the-spirit-board-sessions-2022
Senn,English,English,2013,79,"Adventure, Mystery, Sci-Fi",Charles Dickens meets Arthur C. Clarke--A lowly factory worker is delivered from a world of misery and discovers his destiny via an ancient object on the other side of the stars.,Pelicula,https://filmzie.com/content/senn-2013
Wayward,Danish,English (embedded),2014,19,"Drama, Short, European Production","In ""Wayward,"" a 14-year-old girl navigates life at a mechanic's shop and with friends, pushing boundaries in search of identity. Consequences lead her to confront unexpected truths.",Pelicula,https://filmzie.com/content/wayward
The Last Letter,Hindi,English (embedded),2018,15,"Drama, Short","A 70-year-old Gay Mohan still in the closet, living in a heterosexual marriage in Mumbai, starts to see things differently after revisiting the reality from which he escaped years Ago.",Pelicula,https://filmzie.com/content/the-last-letter-2018
Everlasting,English,English,2016,85,"Crime, Drama, Mystery",A determined High School Filmmaker journeys to Los Angeles for a gripping confrontation with his girlfriend's killer.,Pelicula,https://filmzie.com/content/everlasting-2016
Pacifico,English,"English, Spanish",2019,71,Documentary,"Two friends embark on a Latin American odyssey, exploring profound personal growth amidst environmental revelations.",Pelicula,https://filmzie.com/content/pacifico-2019
Lembranza,Spanish,English,2016,21,"Documentary, Short, Biography, European Production",Embark on a nostalgic journey through my memories. Walk with me into the past and experience moments remembered.,Pelicula,https://filmzie.com/content/lembranza-2016
Close Your Eyes and Fly,French,English,2019,38,"Documentary, Short","""Close Your Eyes and Fly"" - The whole world thought it was impossible. That blind people could fly airplanes. Sabrina is a blind woman from birth who with great tenacity has learned to fly planes.",Pelicula,https://filmzie.com/content/close-your-eyes-and-fly-2019
Tanna,English,English (embedded),2015,104,"Adventure, Drama, Romance","Set on a remote Pacific island, covered in rain forest and dominated by an active volcano, this heartfelt story, enacted by the Yakel tribe, tells of a sister's loyalty, a forbidden love affair and the pact between the old ways and the new.",Pelicula,https://filmzie.com/content/tanna-2015
Flowers,Portuguese,English (embedded),2017,17,"Documentary, Short","Among the daily meetings and mismatches in big urban centers, the construction of big fancy buildings modifies the architecture of the city and heat up the real state market. At the same time that condos are raised in this area of enterprise that is valued people are evicted from inactive spaces. Meanwhile, time engraves their marks.",Pelicula,https://filmzie.com/content/flowers-2017
Guacho,Spanish,English,2017,20,"Drama, Short","Guacho narrates a summer day in the life of two teenage friends, Maikol and Darío, who want to escape their everyday crushing reality, at least for a day. They spend up to the last penny to get to the mountains where, taking refuge in tranquility and mutual love, they manage to get a grasp of happiness. But freedom does not seem to be so available to them.",Pelicula,https://filmzie.com/content/guacho-2017
View & Chew New York Christmas,English,English,2022,60,Documentary,"Explore the Magic of Christmas in New York with famous foodies & travel gurus to guide you on this festive food filled frolic through the city. With holiday sights, classic bites, and seasonal secrets, ’tis the season to be hungry.",Pelicula,https://filmzie.com/content/view--chew-new-york-christmas-2022
COVID Summer,English,No contiene subtitulos,2021,3,Short,A condensed snapshot of all the anxiety and stir crazy sexual tension of the COVID-19 summer of 2020.,Pelicula,https://filmzie.com/content/covid-summer-2021
A Place to Live: The Story of Triangle Square,English,English,2008,56,Documentary,"A PLACE TO LIVE chronicles the journey of seven brave individuals as they attempt to secure a home in Triangle Square, Hollywood, the nation's first affordable housing facility for LGBT seniors. Since demand far exceeds the number of available apartments, a lottery system was set up to determine who would be selected. This film is a moving exploration of the applicants personal stories and the journey that brought them to the lottery and what the future might hold.",Pelicula,https://filmzie.com/content/a-place-to-live-the-story-of-triangle-square-2008
In The Shadow Of The Revolution,Spanish,English (embedded),2017,50,Documentary,"Gain alternative perspectives on Venezuela's Bolivarian Revolution in the independent documentary ""In the Shadow of the Revolution."" Stream for free and explore the counternarrative behind the country's current challenges.",Pelicula,https://filmzie.com/content/in-the-shadow-of-the-revolution-2017
A Nice Quiet Life,English,English,2018,83,"Drama, Romance","Two college students find love before graduation, but their bright future is overshadowed when one of them battles schizophrenia.",Pelicula,https://filmzie.com/content/a-nice-quiet-life-2018
Dye Hard,English,English,2022,50,Documentary,"Several Tie Dye artists compete in the first every tie dye competition, The Tie Dye Cup.",Pelicula,https://filmzie.com/content/dye-hard-2022
The Desperate Dead,Spanish,English,2017,95,"Action, Adventure, Thriller","Inhaling a hallucinogenic drug, our anti-hero Paul becomes obsessed with a woman who appears to be an exact double of his ex-wife. But he soon finds himself embroiled in a criminal conspiracy.",Pelicula,https://filmzie.com/content/the-desperate-dead-2017
The Brotherhood,Spanish,English,2016,86,"Drama, Horror, Mystery","After losing everything, Federico creates a new religious cult and, to achieve his goal, kidnaps Fernando, an old partner who he will try to inherit his project in the middle of a massacre.",Pelicula,https://filmzie.com/content/the-brotherhood-2016
Nunca Jures Por la Luna,Spanish,English,2016,84,"Drama, Romance, European Production",Experience a captivating tale of love and resilience in a world of magic realism as two souls navigate the challenges of modern times.,Pelicula,https://filmzie.com/content/nunca-jures-por-la-luna-2016
Big Fish Blues,English,English,2017,91,"Documentary, Music","Uncover Long Island's vibrant blues scene in ""Big Fish Blues"" documentary. Immerse yourself in incredible performances and personal stories of renowned musicians. Experience the ""Blues way of life"" firsthand.",Pelicula,https://filmzie.com/content/big-fish-blues-2017
A Better Man,English,No contiene subtitulos,2017,77,Documentary,"22 years later, Attiya confronts her abusive ex, Steve. A Better Man captures their raw meeting, reshaping domestic-violence prevention and empowering viewers for change.",Pelicula,https://filmzie.com/content/a-better-man
Wished,Chinese,English,2017,110,"Comedy, Fantasy","A man's many wishes come true, only to realize what he's wanted the most has been in front of him all along.",Pelicula,https://filmzie.com/content/wished-2017
Homeless Ashes,English,English,2019,117,Drama,"Frankie, a brave young boy, flees home and faces homelessness, fighting to survive the harsh realities of life on the streets.",Pelicula,https://filmzie.com/content/homeless-ashes-2019
For Izzy,English,English,2018,84,Drama,The lives of a recovering queer addict and her single mother change forever when they move in next door to a widowed father and his adult daughter with autism.,Pelicula,https://filmzie.com/content/for-izzy-2018
Dreams From My Real Father: A Story of Reds and Deception,English,No contiene subtitulos,2012,97,Documentary,"Uncover an alternative perspective on Barack Obama's life and politics in ""Dreams from My Real Father."" Explore the influence of Frank Marshall Davis and Obama's journey in socialism.",Pelicula,https://filmzie.com/content/dreams-from-my-real-father-a-story-of-reds-and-deception-2012
Beauty in the Broken,English,English,2015,92,"Comedy, Drama, Romance","The worlds of a depressed psychologist and an emotionally disturbed homeless woman collide. While trying to rescue her they fall in love, and each gets a second chance at a new life.",Pelicula,https://filmzie.com/content/beauty-in-the-broken-2015
Vulnerable,Spanish,"English, Spanish, Portuguese",2012,81,Thriller,"After giving birth prematurely, Carla returns to the old family country house, where she'll face her deepest fears.",Pelicula,https://filmzie.com/content/vulnerable-2012
In the Fabulous Underground,English,English,2012,47,Documentary,"New York City. A secret diary by Anton Perich, one of the most interesting artist of the Factory of Andy Warhol. An intimate journey into the artistic background of an entire generation that changed the world in the fabulous seventies.",Pelicula,https://filmzie.com/content/in-the-fabulous-underground-2012
The Flapping of the Hummingbird,Spanish,English,2017,14,"Short, European Production",Fran is granted a second chance to reshape his past after a life-altering car accident. A captivating tale of redemption and self-discovery unfolds.,Pelicula,https://filmzie.com/content/the-flapping-of-the-hummingbird
Rescue,English,English,2022,71,Action,"After the accidental death of Jake's oldest daughter and wife, Jake's only daughter Leah, has been abducted by human traffickers. Jake's experience in martial arts, sets out with little clues in hand, and a kali stick in the other.",Pelicula,https://filmzie.com/content/rescue-2022
Fascism on a Thread: The Strange Story of Nazisploitation Cinema,English,English,2019,91,Documentary,"For a few short years in the 70s, films like Ilsa - She Wolf of the SS, The Beast in Heat, Special Train for Hitler and the Gestapo's Last Orgy were churned out at an alarming rate to shock audiences worldwide. This award-winning documentary features eye-opening interviews / confessions from Producers, Directors, Cinema Historians and Ilsa herself, Dyanne Thorne, in her last on camera appearance.",Pelicula,https://filmzie.com/content/fascism-on-a-thread-the-strange-story-of-nazisploitation-cinema-2019
Margaret Fuller: Transatlantic Revolutionary,English,English,2023,39,"Documentary, Short",Delve into the captivating biography of a prominent female intellect from the 19th century. Explore her role in the Italian Revolution alongside influential figures Thoreau and Emerson.,Pelicula,https://filmzie.com/content/margaret-fuller-transatlantic-revolutionary-2023
Space Rocks,English,English,2020,2,Documentary,Join Morgan Space Dude as he introduces us to the importance of music throughout NASA's exploration of space.,Pelicula,https://filmzie.com/content/space-rocks-2020
Square One: Michael Jackson,English,English,2019,88,Documentary,Uncover the truth behind the 1993 allegations against Michael Jackson made by the Chandler family in this compelling investigation.,Pelicula,https://filmzie.com/content/square-one-michael-jackson-2019
Alex & Jaime,English,English,2017,90,"Action, Comedy, Drama",Alex and Jaime traverse the complexities of a lifelong relationship filled with ups and downs.,Pelicula,https://filmzie.com/content/alex--jaime-2017
Shades of Love,Spanish,English (embedded),2023,65,"Comedy, Drama","A compilation of short films: Alén, Sober Love, Suncatcher. Experience a wild compilation of city life, a water-fueled party frenzy, and a sci-fi awakening in this eclectic movie trio, where music, liberation, and forgotten memories collide.",Pelicula,https://filmzie.com/content/shades-of-love-2023
"Ladies and Gentlemen, Mr. Leonard Cohen",English,No contiene subtitulos,1965,44,"Biography, Documentary",NFB's Donald Owen and Donald Brittain team up for an imaginative profile of poet Leonard Cohen in this National Film Board of Canada production.,Pelicula,https://filmzie.com/content/ladies-and-gentlemen-mr-leonard-cohen
The Orator,Samoan,English,2011,110,Drama,"Saili, an unassuming villager & taro farmer, lives happily with his beautiful wife Vaaiga and her teenage daughter Litia. Their existence, whilst happy and peaceful; is unconventional. Vaiga has been banished from her ancestral village for many years. Saili faces serious threats to his plantation as well as his family & has been denied his fathers chiefly title.",Pelicula,https://filmzie.com/content/the-orator-2011
S.N.U.B!,English,English,2010,74,"Horror, Thriller","A British minister uncovers a terrorist plot to detonate a nuclear device in London. Escaping to a bunker, they face dire consequences when all attempts to stop the explosion fail, wreaking havoc on London and its surroundings.",Pelicula,https://filmzie.com/content/snub-2010
Raphael,English,No contiene subtitulos,2020,13,"Drama, Romance, Short, European Production","Fred, an introverted young man, was living his life peacefully. This all changed the day he met Raphael - who's vision, energy and sensuality constantly leaves him breathless... A few months after they part, Fred, still fascinated and compelled to Raphael, decides to meet him to express how he feels.",Pelicula,https://filmzie.com/content/raphael-2020
The Howling,English,English,2017,83,Horror,A group of teens on a remote farmland uncover a chilling truth about a local myth. Is a bloodthirsty creature truly lurking in the land? Mystery awaits their night out.,Pelicula,https://filmzie.com/content/the-howling-2017
Sometimes in Yesterday,English,No contiene subtitulos,2018,74,Drama,"Life they say is a journey and we all must find our own paths, bearing the burden of yesterday's mistakes and tomorrow's hopes. But as much as we try, it is hard to let go of all the regrets and pain. And even when we do, our hearts still find a home. Sometimes in yesterday.",Pelicula,https://filmzie.com/content/sometimes-in-yesterday-2018
Oliver Sherman,English,No contiene subtitulos,2010,82,"Drama, Thriller, War","Feeling lost and disconnected, with no family of his own, veteran Sherman Oliver sets out to the countryside in search of the soldier who saved him back in the war. That man, Franklin Page, has long since moved on - to a wife, two children, and a reliable job in a reliably safe and quiet rural town.",Pelicula,https://filmzie.com/content/oliver-sherman-2010
Sensitive and in Love,English,English,2020,121,Drama,"A millennial writer from San Francisco travels to the Philippines where she and her brother, a music producer, must come face to face with their traumatic childhood and embrace their seemingly unbearable trait.",Pelicula,https://filmzie.com/content/sensitive-and-in-love-2020
Sex Club 101,English,No contiene subtitulos,2019,47,Documentary,"An honest exploration of sex clubs, from etiquette standards to daily life. This documentary breaks taboos to search for the truth.",Pelicula,https://filmzie.com/content/sex-club-101-2019
Sorgoi Prakov,English,English,2013,85,Horror,Explore the horrors of a journalist's descent into madness in Paris while filming a documentary about the 'European dream'. Terrifying French film.,Pelicula,https://filmzie.com/content/sorgoi-prakov-2013
The Lake of Scars,English,English,2022,94,Documentary,"In a corner of Victoria exists a place of astounding beauty and rare archaeological and environmental significance. On the verge of being lost forever, an unlikely partnership could see it saved.",Pelicula,https://filmzie.com/content/the-lake-of-scars-2022
Sons of Perdition,English,English,2010,85,Documentary,"Delve into the lives of ex-FLDS teens, now religious refugees in America, as they navigate the world outside their former community.",Pelicula,https://filmzie.com/content/sons-of-perdition-2010
I Want to Live,Lithuanian,English,2018,110,"Drama, Romance","""I don't want to stay alive; I want to live...""",Pelicula,https://filmzie.com/content/i-want-to-live-2018
XL,Icelandic,English,2013,88,Drama,"Leifur Sigurdarson, a womanizer parliamentarian, sent to rehab by the Prime Minister. Wild feast with friends unveils their sordid past. Iceland movie saga.",Pelicula,https://filmzie.com/content/xl-2013
Beavers: Patagonia Invaders,Spanish,English,2015,86,"Documentary, Animation, History",Explore the damning legacy of forced species introduction in Patagonia. Uncover the ecological consequences in this insightful profile.,Pelicula,https://filmzie.com/content/beavers-patagonia-invaders-2015
Hearts of Kenya,English,English,2019,31,Documentary,"Discover the compelling tales of 3 Kenyan women: a haunted laundress burdened by her past, a Nairobi student tackling an abortion dilemma, and Atisana, a resilient musician, cherishing a beautiful yet street-stricken life.",Pelicula,https://filmzie.com/content/hearts-of-kenya-2019
7 Years of Agony: The Making of Norman,English,English,2021,138,"Documentary, Sci-Fi",A filmmaker and his crew look back on the long journey they've taken to be able to tell the story of a time traveler and his A.I. companion.,Pelicula,https://filmzie.com/content/7-years-of-agony-the-making-of-norman-2021
Great Jesse James Raid,English,English,1953,73,Western,"Against his wife's objections, Jesse James, now living under an alias, reluctantly teams up with Bob Ford and Sam Wells for a daring Colorado gold heist.",Pelicula,https://filmzie.com/content/great-jesse-james-raid-1953
2030,English,English,2018,103,Documentary,"Johnny Boston was 10 years old when he first met FM-2030, a futurist who intended to live forever. But in 2000, after his body ceased to function, FM was cryonically preserved. 16 years later, an unexpected call placed FM's future in Johnny's hands.",Pelicula,https://filmzie.com/content/2030-2018
